group|detection_smarts|smarts|contribute|composed|molecular_weight|group_number
aC-CONH|[cH0][CH0](=O)[NH]||"{""aC-CONH"": 1, ""aC except as above"": -1}"|n|55.0358|97
aC-NHCO|[cH0][NH][CH0](=O)||"{""aC-NHCO"": 1, ""aC except as above"": -1}"|n|55.0358|98
aC-(N)CO|[cH0][NH0][CH0](=O)||"{""aC-(N)CO"": 1, ""aC except as above"": -1}"|n|54.028|99
NHCONH|[NH][CH0](=O)[NH]||"{""NHCONH"": 1}"|n|58.0396|100
NH2CONH|[NH2][CH0](=O)[NH]||"{""NH2CONH"": 1}"|n|59.0474|101
NH2CON|[NH2][CH0](=O)[NH0]||"{""NH2CON"": 1}"|n|58.0396|102
NHCON|[NH][CH0](=O)[NH0]||"{""NHCON"": 1}"|n|57.0318|103
NCON|[NH0][CH0](=O)[NH0]||"{""NCON"": 1}"|n|56.0239|104
aC-NHCONH2|[NH2][CH0](=O)[NH][cH0]||"{""aC-NHCONH2"": 1, ""aC except as above"": -1, ""NH2CONH"": -1}"|y|71.0584|105
aC-NHCONH|[NH][CH0](=O)[NH][cH0]||"{""aC-NHCONH"": 1, ""aC except as above"": -1, ""NHCONH"": -1}"|y|70.0506|106
NHCO except as above|[NH][CH0]=O||"{""NHCO except as above"": 1}"|n|43.0248|107
CH2Cl|[CH2](Cl)([!Cl])|[CH2][Cl]|"{""CH2Cl"": 1, ""CH2"": -1}"|n|49.48|108
CHCl|[CH](Cl)([!Cl])([!Cl])|[CH][Cl]|"{""CHCl"": 1, ""CH"": -1}"|n|48.472|109
CCl|[CH0](Cl)([!Cl])([!Cl])([!Cl])|[CH0][Cl]|"{""CCl"": 1, ""C"": -1}"|n|47.464|110
CHCl2|[CH](Cl)(Cl)([!Cl])|[CH](Cl)(Cl)|"{""CHCl2"": 1, ""CH"": -1}"|n|83.925|111
CCl2|[CH0](Cl)(Cl)([!Cl])([!Cl])|[CH0](Cl)(Cl)|"{""CCl2"": 1, ""C"": -1}"|n|82.917|112
CCl3|[CH0](Cl)(Cl)(Cl)([!Cl])|[CH0](Cl)(Cl)(Cl)|"{""CCl3"": 1, ""C"": -1}"|n|118.37|113
CH2F|[CH2][F]||"{""CH2F"": 1, ""CH2"": -1}"|n|33.0246|114
CHF|[CH][F]||"{""CHF"": 1, ""CH"": -1}"|n|32.0168|115
CF|[CH0][F]||"{""CF"": 1, ""C"": -1}"|n|31.009|116
CHF2|[CH]([F])[F]||"{""CHF2"": 1, ""CH"": -1}"|n|51.0148|117
CF2|[CH0]([F])[F]||"{""CF2"": 1, ""C"": -1}"|n|50.007|118
CF3|[CH0]([F])([F])[F]||"{""CF3"": 1, ""C"": -1}"|n|70.0128|119
CCl2F|[CH0](Cl)(Cl)(F)([!Cl&!F])|[CH0](Cl)(Cl)(F)|"{""CCl2F"": 1, ""CCl2"": -1, ""CF"": -1, ""C"": 1}"|n|101.915|120
HCClF|[CH](Cl)(F)([!Cl&!F])|[CH](Cl)(F)|"{""HCClF"": 1, ""CHCl"": -1}"|n|67.4698|121
CClF2|[CH0](Cl)(F)(F)([!Cl&!F])|[CH0](Cl)(F)(F)|"{""CCLF2"": 1, ""CCL"": -1, ""CF2"": -1, ""C"": 1}"|n|85.46|122
aC-Cl|[cH0][Cl]||"{""aC-Cl"": 1, ""aC except as above"": -1, ""-Cl except as above"": -1}"|y|47.464|123
aC-F|[cH0][F]||"{""aC-F"": 1, ""aC except as above"": -1, ""-F except as above"": -1}"|y|31.009|124
aC-I|[cH0][I]||"{""aC-I"": 1, ""aC except as above"": -1, ""-I except as above"": -1}"|y|138.911|125
aC-Br|[cH0][Br]||"{""aC-Br"": 1, ""aC except as above"": -1, ""-Br except as above"": -1}"|y|91.915|126
-I except as above|[I]||"{""-I except as above"": 1}"|n|126.9|127
-Br except as above|[Br]||"{""-Br except as above"": 1}"|n|79.904|128
-F except as above|[F]||"{""-F except as above"": 1}"|n|18.998|129
-Cl except as above|[Cl]||"{""-Cl except as above"": 1}"|n|35.453|130
CHNOH|[CH]=[NH0][OH]||"{""CHNOH"": 1}"|n|44.0326|131
CNOH|[CH0]=[NH0][OH]||"{""CNOH"": 1}"|n|43.0248|132
aC-CHNOH|[cH0][CH]=[NH0][OH]||"{""aC-CHNOH"": 1}"|n|44.0326|133
OCH2CH2OH|[OH][CH2][CH2]O[#6,Si]|[OH][CH2][CH2]O|"{""OCH2CH2OH"": 1, ""OH"": -1, ""CH2"": -1, ""CH2O"": -1}"|y|61.059|134
OCHCH2OH|[OH][CH2][CH]O[#6,Si]|[OH][CH2][CH]O|"{""OCHCH2OH"": 1, ""OH"": -1, ""CHO"": -1, ""CH2"": -1}"|y|60.0512|135
OCH2CHOH|[OH][CH][CH2]O[#6,Si]|[OH][CH][CH2]O|"{""OCH2CHOH"": 1, ""OH"": -1, ""CH2O"": -1, ""CH"": -1}"|y|60.0512|136
-O-OH|[OH0][OH]||"{""-O-OH"": 1, ""OH"": -1, ""-SH except as above"": -1}"|y|33.0058|137
CH2SH|[CH2][SH]||"{""CH2SH"": 1, ""CH2"": -1, ""-SH except as above"": -1}"|y|47.0994|138
CHSH|[CH][SH]||"{""CHSH"": 1, ""CH"": -1, ""-SH except as above"": -1}"|y|46.0916|139
CSH|[CH0][SH]||"{""CSH"": 1, ""C"": -1, ""-SH except as above"": -1}"|y|45.0838|140
aC-SH|[cH0][SH]||"{""aC-SH"": 1, ""aC except as above"": -1, ""-SH except as above"": -1}"|y|45.0838|141
-SH except as above|[SH]||"{""-SH except as above"": 1}"|n|33.0728|142
CH3S|[CH3][S][#6,Si]|[CH3][S]|"{""CH3S"": 1, ""CH3"": -1}"|n|47.0994|143
CH2S|[CH2][S][$([#6,Si])&!$([CH3])]|[CH2][S]|"{""CH2S"": 1, ""CH2"": -1}"|n|46.0916|144
CHS|[CH][S][$([#6,Si])&!$([CH3])&!$([CH2])]|[CH][S]|"{""CHS"": 1, ""CH"": -1}"|n|45.0838|145
CS|[CH0][S][$([#6,Si])&!$([CH3])&!$([CH2])]|[CH0][S]|"{""CS"": 1, ""C"": -1}"|n|44.076|146
aC-S-|[cH0][S][$([#6,Si])]|[cH0][S]|"{""aC-S-"": 1, ""aC except as above"": -1}"|n|44.076|147
SO|[SX3H0]=[OH0]||"{""SO"": 1}"|n|48.064|148
SO2|[OH0]=[SX4H0]=[OH0]||"{""SO2"": 1}"|n|64.063|149
SO3 (sulfite)|[OH0]-[SX3H0](=[OH0])-[OH0]||"{""SO3 (sulfite)"": 1}"|n|80.062|150
SO3 (Sulfonate)|[OH0]-[SX4H0](=[OH0])=[OH0]||"{""SO3 (Sulfonate)"": 1}"|n|80.062|151
SO4 (Sulfate)|[OH0]-[SX4H0](-[OH0])(=[OH0])=[OH0]||"{""SO4 (Sulfate)"": 1}"|n|96.061|152
aC-SO|[cH0][SX3H0]=[OH0]||"{""aC-SO"": 1, ""SO"": -1, ""aC except as above"": -1}"|y|60.075|153
aC-SO2|[cH0][SX4H0](=[OH0])=[OH0]||"{""aC-SO2"": 1, ""SO2"": -1, ""aC except as above"": -1}"|y|76.074|154
PH (phosphine)|[PX3H]||"{""PH (phosphine)"": 1}"|n|31.9818|155
P (Phospine)|[PX3H0]||"{""P (Phospine)"": 1}"|n|30.974|156
PO3 (Phospite)|[PX3H0](-[OH0]-[#6])(-[OH0]-[#6])-[OH0]-[#6]|[PX3H0](-[OH0])(-[OH0])-[OH0]|"{""PO3 (Phospite)"": 1}"|n|78.971|157
PHO3 (Phosponate)|[PX4H1](=[OH0])(-[OH0]-[#6])-[OH0]-[#6]|[PX3H1](=[OH0])(-[OH0])-[OH0]|"{""PHO3 (Phosponate)"": 1}"|n|79.9788|158
PO3 (Phosponate)|[PX4H0](=[OH0])(-[OH0]-[#6])-[OH0]-[#6]|[PX3H0](=[OH0])(-[OH0])-[OH0]|"{""PO3 (Phosponate)"": 1}"|n|78.971|159
PHO4 (Phospate)|[PX4H0](=[OH0])(-[OH1])(-[OH0]-[#6])-[OH0]-[#6]|[PX4H0](=[OH0])(-[OH1])(-[OH0])-[OH0]|"{""PHO4 (Phospate)"": 1}"|n|95.9778|160
PO4 (Phospate)|[PX4H0](=[OH0])(-[OH0]-[#6])(-[OH0]-[#6])-[OH0]-[#6]|[PX4H0](=[OH0])(-[OH0])(-[OH0])-[OH0]|"{""PO4 (Phospate)"": 1}"|n|94.97|161
aC-PO4|[cH0][PX4H0](=[OH0])(-[OH0]-[#6])(-[OH0]-[#6])-[OH0]-[#6]|[cH0][PX4H0](=[OH0])(-[OH0])(-[OH0])-[OH0]|"{""aC-PO4"": 1, ""aC except as above"": -1, ""PO4 (Phospate)"": -1}"|y|106.981|162
aC-P|[cH0][PX3H0]||"{""aC-P"": 1, ""aC except as above"": -1, ""P (Phospine)"": -1}"|y|42.985|163
CO3 (Carbonate)|[CH0](=O)(-[OH0]-[#6])(-[OH0]-[#6])||"{""CO3 (Carbonate)"": 1}"|y|60.008|164
C2H3O|[CH2]([O]1)[CH]1||"{""C2H3O"": 1, ""CH2O"": -1, ""CH (cyclic)"": -1}"|y|43.0444|165
C2H2O|[CH]([O]1)[CH]1||"{""C2H2O"": 1, ""CHO"": -1, ""CH (cyclic)"": -1}"|y|42.0366|166
C2HO|[CH0]([O]1)[CH]1||"{""HCOC"": 1, ""CHO"": -1, ""C (cyclic)"": -1}"|n|41.0288|167
CH2 (cyclic)|[CX4H2;R]||"{""CH2 (cyclic)"": 1}"|n|14.027|168
CH (cyclic)|[CX4H;R]||"{""CH (cyclic)"": 1}"|n|13.019|169
C (cyclic)|[CX4H0;R]||"{""C (cyclic)"": 1}"|n|12.011|170
CH=CH (cyclic)|[CH;R]=[CH;R]||"{""CH=CH (cyclic)"": 1}"|n|26.038|171
CH=C (cyclic)|[CH;R]=[CH0;R]||"{""CH=C (cyclic)"": 1}"|n|25.03|172
C=C (cyclic)|[CH0;R]=[CH0;R]||"{""C=C (cyclic)"": 1}"|n|24.022|173
CH2=C (cyclic)|[CH2]=[CH0;R]||"{""CH2=C (cyclic)"": 1}"|n|26.038|174
